"state","city","pop","aland_sqmi","density","n","pred","times"
"CO","Dolores",955,0.664,1437.4673329,4,1.27673852831904,3.13298291801879
"MO","Koshkonong",200,0.179,1144.0255309,2,0.638425010647983,3.13270934979514
"KY","Pikeville",6551,21.849,299.67479272,9,2.87307159023787,3.13253593491378
"CO","Loveland",78877,34.419,2292.604804,46,14.6858560071146,3.13226549257429
"WI","Elkhorn",10019,8.063,1246.1142093,14,4.47051697331511,3.13162886609472
"NC","Hickory",41171,30.731,1389.0486823,30,9.58137023660557,3.13107616751779
"GA","Franklin",971,3.21,302.47520251,5,1.59802759180868,3.12885711462648
"PA","Tarentum",4366,1.23,3564.6100209,7,2.23749560823731,3.12849776072391
"WI","Lyndon Station",484,2.113,229.01341995,4,1.27964458847504,3.12586794491651
"WI","Hayward",2311,3.167,729.6455011,7,2.24720978939493,3.114973970403
"PA","Collegeville",5174,1.572,3291.6777601,8,2.57152346800572,3.11099630220532
"FL","Milton",10523,5.565,1890.8679947,14,4.50352105669711,3.10867870356259
"PA","Lansdale",17083,2.993,5708.5378871,15,4.829173915225,3.10612130838968
"WV","Barboursville",4258,4.013,1040.832308,9,2.89770519547799,3.10590601626589
"MO","Dixon",1450,1.044,1388.281233,5,1.61113007015633,3.10341175589556
"MI","Lexington",1118,1.382,808.88242961,5,1.61142238046716,3.10284880029435
"OR","Coos Bay",16361,10.629,1539.2488265,18,5.80212978133663,3.10230909654926
"MD","Kensington",2329,0.503,4903.0036601,4,1.28991766534396,3.10097311438353
"NY","Patchogue",12321,2.26,5451.0862456,12,3.8727804108123,3.09854903378915
"NY","Utica",59750,16.722,3565.1272828,39,12.5879480943424,3.09820152638924
"CA","San Diego",1423851,325.884,4369.2845951,345,111.378046639479,3.09755836459168
"IN","Corydon",3201,1.636,1960.4102892,7,2.26214049163654,3.09441435042607
"PA","Verona",2411,0.507,4774.2280053,4,1.29268894906926,3.09432520706547
"ID","Emmett",7054,2.602,2511.4563893,10,3.23450697947003,3.09166128361191
"CO","Pueblo",112361,55.382,2044.3858616,55,17.8121383953515,3.08778198210909
"NY","Fairport",5305,1.58,3357.8206195,8,2.59508373632768,3.08275216248738
"OH","Waverly",4236,4.164,1017.3764425,9,2.92133093496179,3.08078755894793
"NC","Fairview",3900,6.224,130.0709367,4,1.29845368123481,3.08058736157309
"PA","Elizabeth",1476,0.343,4310.5235427,3,0.974517525438164,3.07844643291678
"PA","Greensburg",14113,4.055,3480.0149553,15,4.87765902621091,3.07524571098451
"WV","Chapmanville",1094,0.657,1665.1858108,4,1.30111835156899,3.07427836612748
"OH","Chillicothe",21722,10.5,2084.3369057,21,6.83719522361508,3.07143489591577
"IL","Tinley Park",55773,16.096,3462.6618578,37,12.0525609518787,3.06988698482646
"OR","La Pine",1929,7.138,277.01593662,6,1.95642559242401,3.06681737513258
"NY","Tonawanda",14745,3.803,3876.9213166,15,4.89186224709792,3.06631692437756
"OH","Loveland",13145,4.998,2595.6502496,15,4.89542883839508,3.06408294251043
"AZ","Mesa",518012,138.704,3751.3964162,164,53.5456118688933,3.06280933723486
"ID","Buhl",4507,1.879,2399.1587925,8,2.61222263367681,3.0625261020496
"WA","Eatonville",3026,1.826,1657.2961317,7,2.28654170683805,3.06139178614851
"ID","Cambridge",320,0.484,661.33597188,3,0.980581849640669,3.05940804543684
"WV","Summersville",3274,4.487,729.73230294,8,2.61510872401779,3.0591462322488
"FL","Cocoa",18603,13.459,1394.5904584,19,6.21534063554136,3.05695232395659
"PA","New Hope",2530,1.27,1992.3717595,6,1.96320458422835,3.0562275822916
"TN","Greeneville",14891,16.997,876.10109601,16,5.23982079995461,3.05353954092067
"MO","Branson",11630,21.225,549.36285581,13,4.25824567581959,3.05290041714136
"SC","Charleston",137566,114.758,1244.328781,53,17.3691782433187,3.05138212398662
"VT","Barre",8528,3.985,2160.7962897,12,3.93842190961339,3.04690565800198
"OR","Lebanon",17417,7.006,2497.8702676,18,5.91272045707305,3.04428395197808
"OK","Oklahoma City",655057,606.195,1080.1596129,105,34.6062942764885,3.03413012560946
"FL","Cocoa Beach",11705,4.658,2512.7148797,14,4.61979434919017,3.03043792467822
"OR","Newport",10853,9.976,1087.4270423,14,4.62132787067198,3.02943231724528
"KY","Corinth",226,2.118,106.72871137,3,0.991968110739977,3.02429076854305
"VA","Suffolk",92108,399.16,230.75835845,16,5.29290697057489,3.02291351216818
"CO","Golden",20767,9.634,2153.8718392,20,6.61998229994869,3.02115611399067
"WA","Washougal",16107,5.95,2779.7938867,17,5.63407687858035,3.01735321799222
"OR","Oregon City",37339,10.045,3780.0880739,28,9.28143073949323,3.0167762692941
"DE","Wilmington",70166,10.895,6434.8250227,40,13.262402793014,3.01604472615401
"ID","Coeur d'Alene",52414,16.103,3264.3793529,35,11.6201464344177,3.01201023563123
"IL","Ridgway",747,0.88,849.09477659,4,1.32874451909779,3.01036048879883
"KY","Goshen",1010,0.197,5123.4656952,2,0.664435860642444,3.0100723312348
"MN","Hibbing",15855,182.028,87.130665547,5,1.66208467904121,3.0082703144128
"MI","Grayling",1851,2.05,903.10872755,6,1.99530105185643,3.00706502129972
"OR","Carlton",2182,0.882,2479.1467356,5,1.66413675091579,3.00456077137197
"IN","Cambridge City",1750,1.009,1734.0884927,5,1.66487036834008,3.00323682557047
"CA","Auburn",14195,7.177,1977.8241776,16,5.32836784300821,3.00279569117866
"OH","Hamersville",502,0.438,1162.3744812,3,0.999813662689531,3.0005591161156
"CA","Eureka",26710,9.536,2846.2926577,23,7.66943903130222,2.99891555381395
"NY","Hudson Falls",7056,1.863,3788.3296624,9,3.00231858409071,2.9976832064695
"AZ","Bullhead City",40884,59.373,688.48261384,23,7.67282813786467,2.99759092563239
"WI","Fremont",651,1.034,630.48174085,4,1.33492696860641,2.99641860121814
"KY","Sharpsburg",338,0.197,1715.5935955,2,0.668283214174673,2.9927431328198
"PA","Washington",13433,2.918,4557.3120761,13,4.35158589449802,2.98741661435127
"PA","York Springs",776,0.199,3896.6518698,2,0.66994597870712,2.98531532924439
"CA","Crescent City",6787,1.963,3456.8045277,9,3.018682753853,2.98143287449221
"AR","Hartman",556,1.58,351.98294487,4,1.34177639438073,2.98112264960968
"MI","Frankfort",1290,1.39,930.2361476,5,1.67872261445338,2.97845514020676
"WV","Bruceton Mills",84,0.055,1514.8026904,1,0.335978760594668,2.97637862057126
"AL","Huntsville",200574,218.119,935.6752878,54,18.1530362528845,2.9747089824392
"MI","Dexter",4715,1.943,2474.2337425,8,2.69230025416233,2.97143678073495
"WA","Moses Lake",24086,17.945,1346.0991871,21,7.07214318454563,2.96939689313561
"VT","Lyndonville",1165,0.708,1645.3541616,4,1.35315639642875,2.95605150340108
"CA","California City",14198,203.611,69.731111092,4,1.35369028698387,2.95488564737531
"PA","Export",856,0.403,2121.9616042,3,1.01660165932608,2.95100836446476
"FL","Fort Myers Beach",7094,2.782,2552.0617861,10,3.38985554592926,2.94997821131599
"OH","Cincinnati",303940,77.836,3904.8776561,111,37.6374927912019,2.9491868817029
"MI","Fenton",11403,6.651,1714.3910657,14,4.74881256988252,2.94810540403079
"PA","Columbia",10355,2.414,4289.7461676,11,3.7322693085482,2.94726856253544
"AR","Fayetteville",87590,54.137,1621.2119145,43,14.6084334716108,2.94350520769827
"SC","Easley",21364,12.656,1714.1711497,20,6.79573970530911,2.94302031379677
"OH","Fairborn",33876,14.57,2325.0272717,26,8.85284323187662,2.93690956893727
"VA","Surry",218,0.827,263.63588924,3,1.02233294859244,2.93446474960083
"CA","Santa Rosa",176753,42.528,4157.0239297,77,26.2540970365807,2.932875577199
"MI","Durand",3290,1.951,1691.7936618,7,2.38753237018163,2.93189742154888
"MN","Garrison",207,1.047,197.73372708,3,1.02343576050938,2.93130269212682
"WA","Naches",847,0.871,993.01129344,4,1.36614840225369,2.92793959528944
"FL","West Palm Beach",111955,53.819,2080.6405122,52,17.7647866224762,2.92713901411059
